channel_title,videoId,title,view_count,comment_count
Khan Academy,8JUEga3MYsM,Ocean acidification| Global Change| AP Environmental science| Khan Academy,4962,26
Khan Academy,FIYVnvHa2dc,"Science, technology, and the environment | High school biology | Khan Academy",2757,16
Khan Academy,LOzMugtKmN4,Solid waste disposal|  Aquatic and Terrestrial Pollution| AP Environmental science| Khan Academy,9004,25
Khan Academy,gmr5QYeFJ4g,Extinction | Adaptation and environmental change | High school biology | Khan Academy,9368,25
Khan Academy,YdZqK60bxjs,Species and the environment | High school biology | Khan Academy,5262,8
Khan Academy,k6jUaaQNY28,Introduction to sustainability| Land and water use| AP Environmental science| Khan Academy,4391,13
Khan Academy,FPPv1mkRpKw,Heat transfer | Thermodynamics | High school physics | Khan Academy,7152,13
Khan Academy,OVODBZUJAYE,Solar Energy| Energy Resources and Consumption| AP Environmental science| Khan Academy,3885,10
Khan Academy,z-SFzbp6Y08,The Indefinite Article | Parts of Speech | Grammar | Khan Academy,5544,0
Khan Academy,miaewHG2-X0,Pollution and human health| Aquatic and Terrestrial Pollution| Khan Academy,7180,10
Khan Academy,OhYOfTczCk4,Mendelian inheritance and Punnett squares | High school biology | Khan Academy,6155,15
Khan Academy,D0XYWKm_LoM,Sources of genetic variation | Inheritance and variation | High school biology | Khan Academy,4811,9
Khan Academy,09xFhq7Tpm4,"Homeroom with Sal & David Siegel - Wednesday, July 14",4434,5
Khan Academy,eHsYuPEYXgE,Feedback in living systems | Growth and feedback in organisms | High school biology | Khan Academy,2722,1
Khan Academy,Ws3yB3QsKY4,Inertial Mass vs. Gravitational Mass | Circular motion and gravitation | AP Physics 1 | Khan Academy,2952,6
Khan Academy,BYkxKrbETb4,Work-Energy Principle Example | Energy and Momentum | AP Physics 1 | Khan Academy,1943,3
Khan Academy,5_bdL_g-X9I,Changes in Momentum Worked Examples | Momentum and Impulse | AP Physics 1 | Khan Academy,2685,2
Khan Academy,TQQXpFhACSU,Torque Basics | Simple harmonic motion and rotational motion | AP Physics 1 | Khan Academy,2832,3
Khan Academy,mzatvUid9Pw,Period of a Pendulum | Simple harmonic motion and rotational motion | AP Physics 1 | Khan Academy,2269,7
Khan Academy,ZkyX3TmmMag,Dihybrid cross and the Law of Independent Assortment | High school biology | Khan Academy,4819,13
Khan Academy,VeueBB5Abt4,Energy at the microscopic scale | Introduction to energy | High school physics | Khan Academy,4718,8
Khan Academy,rMNJfR168_U,Energy and fields | Introduction to energy | High school physics | Khan Academy,1963,5
Khan Academy,zKb3QRyIDnM,What is energy? | Introduction to energy | High school physics | Khan Academy,2562,7
Khan Academy,VafUJehX48w,Calculating gravitational potential energy | Modeling energy | High school physics | Khan Academy,1648,5
Khan Academy,3FIFHRrut2s,Calculating kinetic energy | Modeling energy | High school physics | Khan Academy,2601,5
Khan Academy,waw8-hFq1cc,Energy in fields | Introduction to energy | High school physics | Khan Academy,2137,7
Khan Academy,WsSMMeYh8jU,Electromagnetic radiation emission | Electromagnetic Radiation | High School Physics | Khan Academy,2496,11
Khan Academy,Z2bDnvDGQHQ,pH and solubility | Equilibrium | AP Chemistry | Khan Academy,6804,11
Khan Academy,fI3U9T7LigY,The common-ion effect | Equilibrium | AP Chemistry | Khan Academy,2799,3
Khan Academy,vyENVkttVtw,Worked example: Predicting whether a precipitate forms by comparing Q and Kₛₚ | Khan Academy,1430,5
Khan Academy,Ywvw32DaxUk,Worked example: Calculating solubility from Kₛₚ | Equilibrium | AP Chemistry | Khan Academy,1088,1
Khan Academy,N9a2r01ToZk,Introduction to solubility equilibria | Equilibrium | AP Chemistry | Khan Academy,1323,2
Khan Academy,YBEoLzMWCdM,Worked example: Using Le Chȃtelier’s principle to predict shifts in equilibrium | Khan Academy,1124,1
Khan Academy,2q5UPN4tF20,Worked example: Calculating the equilibrium total pressure after a change in volume | Khan Academy,1054,0
Khan Academy,j7FOzKIDrg8,Le Chȃtelier’s principle: Changing temperature | Equilibrium | AP Chemistry | Khan Academy,1323,5
Khan Academy,FmqyKCQo7Tk,Le Chȃtelier’s principle: Changing volume | Equilibrium | AP Chemistry | Khan Academy,751,2
Khan Academy,jjmAGbcKEZY,Le Chȃtelier’s principle: Changing concentration | Equilibrium | AP Chemistry | Khan Academy,847,0
Khan Academy,U7U3e0r_8y8,Worked example: Using the reaction quotient to find equilibrium partial pressures | Khan Academy,601,0
Khan Academy,JDUNQMj9Yk0,Using the reaction quotient | Equilibrium | AP Chemistry | Khan Academy,560,0
Khan Academy,l81swfmUaek,Worked example: Calculating equilibrium concentrations from initial concentrations | Khan Academy,570,0
Khan Academy,MKt3X0SGrtw,Worked example: Calculating an equilibrium constant from initial and equilibrium pressures,569,0
Khan Academy,U39OqCEMjto,Properties of the equilibrium constant | Equilibrium | AP Chemistry | Khan Academy,686,2
Khan Academy,CoRawW0_Kns,Magnitude of the equilibrium constant | Equilibrium | AP Chemistry | Khan Academy,666,2
Khan Academy,5HZbCNg9mIw,Worked examples: Calculating equilibrium constants | Equilibrium | AP Chemistry | Khan Academy,580,3
Khan Academy,lG8tCeNzEjY,Writing equilibrium constant and reaction quotient expressions | AP Chemistry | Khan Academy,805,2
Khan Academy,9u914ckHlUI,Direction of reversible reactions | Equilibrium | AP Chemistry | Khan Academy,2039,3
Khan Academy,zaHM74k9Z1w,Dynamic equilibrium | Equilibrium | AP Chemistry | Khan Academy,1554,6
Khan Academy,TZ-S9sc6HYM,Biodiversity | Biodiversity and human impacts | High school biology | Khan Academy,4574,12
Khan Academy,9RUSMa-UIcQ,Formation of biomolecules | Matter and energy in organisms | High school biology | Khan Academy,1192,2
Khan Academy,Yxm-WMYEpHg,Photosynthesis | Matter and energy in organisms | High school biology | Khan Academy,5860,13
Khan Academy,8pWMifyG5bU,Organization of multicellular organisms | High school biology | Khan Academy,5178,12
Khan Academy,_iVu3g_S05I,"Genes, proteins, and cells | Genes, cells, and organisms | High school biology | Khan Academy",4920,5
Khan Academy,YpfxiDktSoI,Greenhouse effect and greenhouse gases| Global change| AP Environmental science| Khan Academy,5104,40
Khan Academy,TdZr_ucEhgo,"Cell specialization | Genes, cells, and organisms | High school biology | Khan Academy",8412,14
Khan Academy,VZmnLQ3CMbE,Taking and visualizing powers of a complex number | Precalculus | Khan Academy,5680,10
Khan Academy,nqRPRwO79kg,Indoor air pollutants| Atmospheric pollution| AP Environmental science| Khan Academy,8557,25
Khan Academy,nZjMRq9tev8,Human impact on aquatic environments| AP Environmental science| Khan Academy,4427,19
Khan Academy,lyWaNZ1ERMw,Dividing complex numbers in polar form | Precalculus | Khan Academy,4191,13
Khan Academy,VkdXztTFsvM,Multiplying complex numbers in polar form | Precalculus | Khan Academy,2133,3
Khan Academy,ebEwF4kb6pI,Multiplying complex numbers graphically example: -1-i | Precalculus | Khan Academy,4947,9
Khan Academy,fqwR6RNPJgc,Multiplying complex numbers graphically example: -3i | Precalculus | Khan Academy,2637,8
Khan Academy,auywa7dydAk,Converting a complex number from polar to rectangular form | Precalculus | Khan Academy,2997,8
Khan Academy,rEK8Ue9KqYM,"Homeroom with Sal & Anant Agarwal - Thursday, June 24",7959,28
Khan Academy,GSc5zo4WjJs,Energy Conservation| Energy Resources and Consumption| AP Environmental Science| Khan Academy,7274,22
Khan Academy,s4OcGrPQqJ0,Reduction of Air Pollutants| Atmospheric Pollution| AP Environmental Science| Khan Academy,4617,41
Khan Academy,E7UIonbL4FU,Nuclear Power Generation| Fuel Types and Uses I| AP Environmental Science| Khan Academy,8677,26
Khan Academy,yqdGJ-_0AGg,Student tips for using course mastery on Khan Academy,5385,40
Khan Academy,dT_-uESRLqw,Student tips for completing assignments on Khan Academy,4330,36
Khan Academy,N98MIIVn58M,"Khan Academy Ed Talks with Barbara Oakley, Phd - Thursday, June 15",10845,25
Khan Academy,GEvQvwDEWgo,"Khan Academy Ed Talks with Olav Schewe - Tuesday, June 1",15629,55
Khan Academy,2C7F_2OpRT8,Impacts of Urbanization| AP Environmental science| Khan Academy,12216,48
Khan Academy,dbEtcjNxGVQ,Impacts of Agricultural Practices| Land and water use| AP Environmental science| Khan Academy,5217,12
Khan Academy,xp50_ixPOhY,Global wind patterns| Earth systems and resources| AP environmental science| Khan Academy,7966,20
Khan Academy,U2-ACg2kbTA,El Niño and La Niña| Earth systems and resources| AP Environmental science| Khan Academy,4605,9
Khan Academy,Bn9ul9lxIdg,Soil Texture Triangle| Earth systems and resources| AP environmental science| Khan Academy,4419,8
Khan Academy,QU3zVec5I_M,Hess's law | Thermodynamics | AP Chemistry | Khan Academy,11403,18
Khan Academy,PJC2UDCgZ_I,"Homeroom with Sal, Carol Dweck, PhD, & Vicky Colbert - Tuesday, May 25",9183,10
Khan Academy,uB5QDraFefs,Complex numbers with the same modulus (absolute value),16083,23
Khan Academy,9NhTVXhfqzU,Factoring polynomials using complex numbers | Khan Academy,10570,18
Khan Academy,JtKNDIUlCjk,Using probabilities to make fair decisions example | Probability & combinatorics | Khan Academy,10200,50
Khan Academy,mKPeuVjPDo0,Expected payoff example: protection plan | Probability & combinatorics | Khan Academy,3973,5
Khan Academy,Ay1bVzqTKzg,Expected payoff example: lottery ticket | Probability & combinatorics | Khan Academy,4593,11
Khan Academy,SNIW7MmCdhA,Interpreting expected value | Probability & combinatorics | Khan Academy,4354,8
Khan Academy,wztjEa7893c,Probability distributions from empirical data | Probability & combinatorics,3684,6
Khan Academy,2jExPaoTrQE,Theoretical probability distribution example: multiplication | Probability & combinatorics,3096,7
Khan Academy,hA8VmhkKEJo,Theoretical probability distribution example: tables | Probability & combinatorics,3116,2
Khan Academy,yTJawPRzCzI,Interpreting general multiplication rule | Probability & combinatorics,2030,3
Khan Academy,OqbkCYy37hI,General multiplication rule example: independent events | Probability & combinatorics,1958,6
Khan Academy,iyQNk090FGM,General multiplication rule example: dependent events | Probability & combinatorics,2198,3
Khan Academy,Tp-SjgG11G8,Probability with combinations example: choosing cards | Probability & combinatorics,4035,19
Khan Academy,gy8E0-wf4a0,Probability with combinations example: choosing groups | Probability & combinatorics,3037,11
Khan Academy,lVle8hJTZAk,Representing systems of any number of equations with matrices | Precalculus | Khan Academy,5848,22
Khan Academy,C6gQZ7qKtdM,Probability with permutations & combinations example: taste testing | Probability & combinatorics,6323,13
Khan Academy,Ga1Di84GcgM,Vector word problem: resultant force | Vectors | Precalculus | Khan Academy,7396,19
Khan Academy,Neon4dpvmUk,Vector word problem: resultant velocity | Vectors | Precalculus | Khan Academy,4084,8
Khan Academy,TmJn6Xlehgw,"Homeroom with Sal & Mala Sharma - Wednesday, May 5",8801,22
Khan Academy,T7QKMp6AS90,Help Khan Academy supercharge learning,122151,252
Khan Academy,LDlIq56e6IY,Virtual Mindfulness Retreat with Khan Academy and Headspace,6586,22
Khan Academy,4mRDJf6tShs,Subtracting vectors with parallelogram rule | Vectors | Precalculus | Khan Academy,7149,10
Khan Academy,TdjVKkGVNLo,"Homeroom with Sal & US Sec. of Education, Dr. Miguel Cardona - Thursday, April 29",85201,25
Khan Academy,yFPfO_eHJdY,Adding vectors in magnitude and direction form | Vectors | Precalculus | Khan Academy,7002,22
Khan Academy,Mep0foZMOCg,Parallelogram rule for vector addition | Vectors | Precalculus | Khan Academy,5017,41
Khan Academy,0_4uTKBI99o,Cosine equation solution set in an interval,3730,8
Khan Academy,JoOfBpdaAiw,Cosine equation algebraic solution set,2664,4
Khan Academy,nUlElr4LXz8,Proof of the tangent angle sum and difference identities,3902,5
Khan Academy,eA2AW5F4N_M,Interpreting statements about vectors | Vectors | Precalculus | Khan Academy,4613,18
Khan Academy,TCOQzIONaz8,Representing quantities with vectors | Vectors | Precalculus | Khan Academy,2900,10
Khan Academy,hJkKADcQWj0,Introduction to vector components | Vectors | Precalculus | Khan Academy,4360,10
Khan Academy,qtkivKA4h9w,Personal Pronouns | The Parts of Speech | Grammar | Khan Academy,10456,0
Khan Academy,T9HHhUSOTZ0,"Khan Academy Ed Talks featuring Ben Gomes - Thursday, April 22",9830,9
Khan Academy,Tt_ATh5mCGw,"Cosine, sine and tangent of π/6 and π/3",14392,38
Khan Academy,39d71RnZJBg,"Khan Academy Ed Talks with Dan Willingham, PhD - Wednesday, April 21",7816,13
Khan Academy,KBXec1ctCjg,Rule of 70 to approximate population doubling time | AP Environmental Science | Khan Academy,5303,30
Khan Academy,TdBY-so0H0Q,Worked example: Using bond enthalpies to calculate enthalpy of reaction | Khan Academy,4245,11
Khan Academy,VxcqAIaO-cA,Bond enthalpies | Thermodynamics | AP Chemistry | Khan Academy,2549,3
Khan Academy,TNwGNHqwHxc,Enthalpy of formation | Thermodynamics | AP Chemistry | Khan Academy,2019,1
Khan Academy,pDCcRU5OGmA,Worked example: Measuring enthalpy of reaction using coffee-cup calorimetry | Khan Academy,1300,3
Khan Academy,cEzN33gfgVs,Enthalpy of reaction | Thermodynamics | AP Chemistry | Khan Academy,1251,1
Khan Academy,MqAVc_XaIXQ,Heating curve for water | Thermodynamics | AP Chemistry | Khan Academy,1859,6
Khan Academy,jCKvxH5mXR4,Enthalpy and phase changes | Thermodynamics | AP Chemistry | Khan Academy,1205,3
Khan Academy,1NueJQpqkuc,Constant-volume calorimetry | Thermodynamics | AP Chemistry | Khan Academy,1185,10
Khan Academy,1Zx71Il5jaM,Worked example: Measuring the energy content of foods using soda-can calorimetry | Khan Academy,946,2
Khan Academy,SkMeY6RBJZY,Constant-pressure calorimetry | Thermodynamics | AP Chemistry | Khan Academy,998,0
Khan Academy,QlusUNM1ehA,Heat capacity | Thermodynamics | AP Chemistry | Khan Academy,1055,4
Khan Academy,7jAPitc0bkY,Heat transfer and thermal equilibrium | Thermodynamics | AP Chemistry | Khan Academy,3056,8
Khan Academy,LYrpdeXbvdk,Representing endothermic and exothermic processes using energy diagrams | Khan Academy,1413,4
Khan Academy,JPxTgtUx9sE,Endothermic and exothermic processes | Thermodynamics | AP Chemistry | Khan Academy,1622,3
Khan Academy,W1nRQFgjzNg,Khan Academy Ed Talks with LaVerne Srinivasan,10430,16
Khan Academy,V8lIpRHjthk,Representing systems of equations with matrices | Matrices | Precalculus | Khan Academy,13766,44
Khan Academy,S278zOWSsZM,Invertible matrices and transformations | Matrices | Precalculus | Khan Academy,5998,11
Khan Academy,GuFvSwriy1Q,Invertible matrices and determinants | Matrices | Precalculus | Khan Academy,4417,13
Khan Academy,QoKiCWCsSCo,Volume density,10090,25
Khan Academy,lqXzyybVh6o,Area density,4296,17
Khan Academy,0cmhBgQNGDI,Dividing rational expressions | Precalculus | Khan Academy,14866,34
Khan Academy,fjJ0C7-N-xU,Multiplying rational expressions | Precalculus | Khan Academy,6246,13
Khan Academy,eCkGAum9C9E,"Khan Academy Ed Talk with Bob Hughes - Tuesday, March 23",9139,19
Khan Academy,a2S0kuXO3gE,Inverse matrices and matrix equations | Matrices | Precalculus | Khan Academy,12024,20
Khan Academy,2O18RbWmrYA,Composing 3x3 matrices | Matrices | Precalculus | Khan Academy,4938,12
Khan Academy,sT9IgHjjhiY,Inverse matrix introduction | Matrices | Precalculus | Khan Academy,5555,13
Khan Academy,FNYDRzG7fuE,Classification of matter | Structure and properties of matter | High school chemistry | Khan Academy,15197,26
Khan Academy,1vMVqhh_wi4,Help Khan Academy Double Down On Our Efforts,83935,175
Khan Academy,wdRNFRsUeIA,"Homeroom with Sal & Magnus Carlsen - Friday, March 12",23086,43
Khan Academy,Beo10i0-jdk,"Khan Academy Ed Talks with Marc Sternberg - Wednesday, March 10",7139,3
Khan Academy,_OiMiQGKvvc,Proof: Matrix determinant gives area of image of unit square under mapping | Matrices | Khan Academy,8256,35
Khan Academy,aVuCoUxt3vc,Finding area of figure after transformation using determinant | Matrices | Khan Academy,4784,9
Khan Academy,ER_96Mx-KEE,Interpreting determinants in terms of area | Matrices | Precalculus | Khan Academy,5028,20
Khan Academy,ZAkmBOCiNqU,Intro to determinant notation and computation | Matrices | Precalculus | Khan Academy,4361,5
Khan Academy,8fnlfi0hCO8,Empowering Young Women - Susan Wojcicki on Homeroom with Sal,115398,87
Khan Academy,UMTeKCLvv9E,Composite functions to model extraterrestrial skydiving,7135,10
Khan Academy,nEWYKpTCX-U,Reading inverse values from a graph,5983,23
Khan Academy,NKG6DifB3OA,Using matrices to manipulate data: Game show | Matrices | Precalculus | Khan Academy,5843,10
Khan Academy,g-ljbR62EAQ,Using matrices to manipulate data: Pet store | Matrices | Precalculus | Khan Academy,2679,3
Khan Academy,ENJsWSCt_ac,Worked example: Writing empirical formulas for ionic compounds | Khan Academy,5318,5
Khan Academy,#NAME?,Empirical formulas for ionic compounds | High school chemistry | Khan Academy,3732,5
Khan Academy,ea1HxED3UJ0,"Elements, atoms and subatomic particles | High school chemistry | Khan Academy",6047,15
Khan Academy,HFhTV4vzqOI,Magnetism and Magnetic Fields | Types of Interactions | High School Physics | Khan Academy,9002,16
Khan Academy,iptKZt4FHRo,Introduction to Momentum | Forces and Motion | High School Physics | Khan Academy,6394,20
Khan Academy,WLoBo-enxAw,Systems and Objects | Dynamics | AP Physics I | Khan Academy,5574,14
Khan Academy,BtQnTyGq4sI,Contact Forces | Dynamics | AP Physics 1 | Khan Academy,3910,5
Khan Academy,2ObBIZoZnJ0,Using matrices to represent data: Payoffs | Matrices | Precalculus | Khan Academy,6480,9
Khan Academy,IxmFLAPSx5I,Using matrices to represent data: Networks | Matrices | Precalculus | Khan Academy,5342,19
Khan Academy,53zToEIkq1M,"Homeroom with Sal & Mayim Bialik - Friday, February 12",26253,52
Khan Academy,8KsQcWL5nm4,"Homeroom with Sal & Neel Kashkari - Tuesday, February 2",15122,24
Khan Academy,bGSCMJmbMUI,Khan Kickoff Pep Talk: Brandi Chastain,10134,0
Khan Academy,5Tw9Yp-YuVU,Types of catalysts | Kinetics | AP Chemistry | Khan Academy,14944,41
Khan Academy,l4VCiJulLKw,Multistep reaction energy profiles | Kinetics | AP Chemistry | Khan Academy,7508,21
Khan Academy,L7R1HjA8BQ4,Collision theory and the Maxwell–Boltzmann distribution | Kinetics | AP Chemistry | Khan Academy,6424,7
Khan Academy,4czm7qIbUjA,The pre-equilibrium approximation | Kinetics | AP Chemistry | Khan Academy,3652,3
Khan Academy,Xnu--929bo4,Kinetics of radioactive decay | Kinetics | AP Chemistry | Khan Academy,3898,3
Khan Academy,aXf3e8a1teo,Zero-order reactions | Kinetics | AP Chemistry | Khan Academy,3012,2
Khan Academy,YgWmHssKVvQ,Second-order reactions | Kinetics | AP Chemistry | Khan Academy,4384,6
Khan Academy,PVqWOehVTOg,First-order reactions | Kinetics | AP Chemistry | Khan Academy,4114,7
Khan Academy,CoNHV7786Hg,Factors affecting reaction rates | Kinetics | AP Chemistry | Khan Academy,4553,10
Khan Academy,XmPSkMFxo0c,"Khan Academy ""Hamilton"" song",27686,244
Khan Academy,K10qnzCYH54,Human impacts on ecosystems | Interactions in ecosystems | High school biology | Khan Academy,14801,62
Khan Academy,ey4FTyYjiPw,K selected and r selected population growth strategies | AP Environmental science | Khan Academy,5069,4
Khan Academy,fz7xNYIKuvI,Khan Kickoff Pep Talk: Danny Green,8860,0
Khan Academy,xUphhwyA3QM,Khan Kickoff Pep Talk: Dominique Moceanu,12815,0
Khan Academy,Jw38WchbD-4,Official SAT Practice Tips for Students,7939,0
Khan Academy,OtCbbU7lQmo,Khan Kickoff Pep Talk: Tony Hawk,14653,0
Khan Academy,Bue8hgXgoWc,Khan Kickoff Pep Talk: Akbar Gbajabiamila,7804,0
Khan Academy,aGAzB633b4U,Khan Kickoff Overview,9666,16
Khan Academy,JFD2uFmonZw,"Homeroom with Sal & Dr. Jennifer Doudna - Wednesday, January 13",6990,11
Khan Academy,8zO0algdgNM,Primary productivity in ecosystems| Matter and Energy Flow| AP Environmental Science| Khan Academy,13777,69
Khan Academy,WVJXsM_KUiQ,"Homeroom with Sal & Melinda Gates - Tuesday, January 12",12924,53
Khan Academy,id_MB2RClG4,Elon Musk $5 million donation to Khan Academy thank you,2154701,7872
Khan Academy,fL0W_boPHLs,Energy flow in a marine ecosystem| Matter and Energy Flow| AP Environmental Science| Khan Academy,13280,46
Khan Academy,10q8SnMQTHY,"Khan Academy Ed Talks - Reimagining School with Sal Khan, Rachel E. Skiffer, & Kim Dow",13329,49
Khan Academy,jTIwEYeDCf8,Reminder: Support Khan Academy today!,20900,116
Khan Academy,OSLITlRlEuQ,Khan Lab School,29089,133
Khan Academy,M9DL-AJNYe0,"Khan Academy Ed Talks featuring Asst. Supt. Beth Gonzalez - Thursday, Dec. 17",10924,18
Khan Academy,q9q84X3pezg,"Khan Academy Ed Talks featuring Brooke Mabry - Wednesday, December 16",8267,6
Khan Academy,O08kMXpj6SA,"Homeroom with Sal & Rehema Ellis - Tuesday, December 15",5657,1
Khan Academy,p24UTvbKZog,Sampling distribution of the difference in sample means | AP Statistics | Khan Academy,9482,19
Khan Academy,TIs4t-5IOxk,"Khan Academy Ed Talks featuring Dr. Jharrett Bryantt - Thursday, Dec. 10",12905,22
Khan Academy,_blookRQV38,"Khan Academy Ed Talks featuring Elisa Villanueva Beard - Wednesday, December 9",9162,21
Khan Academy,ITsSBEkEo0c,Be Like Sal: 3 Ways a Tablet Can Energize Your Digital Teaching!,6181,13
Khan Academy,4PXlyPY6Uzg,3 Mindfulness Exercises to Inspire You + Your Students,14191,28
Khan Academy,-4BaQqX871k,"Breakthrough Junior Challenge Winner Reveal! Homeroom with Sal - Thursday, December 3",9489,17
Khan Academy,MxjCto0BYd4,Worked example: Balancing a simple redox equation | Chemical reactions | AP Chemistry | Khan Academy,14799,46
Khan Academy,CsgVO0ldmQs,Worked example: Using oxidation numbers to identify oxidation and reduction | Khan Academy,5439,7
Khan Academy,FRNTJmqMko8,Worked example: Relating reaction stoichiometry and the ideal gas law | AP Chemistry | Khan Academy,3760,3
Khan Academy,cVqEfuJBVd8,Worked example: Calculating the amount of product formed from a limiting reactant | Khan Academy,6751,3
Khan Academy,9ujy3qfa7jI,Worked example: Calculating amounts of reactants and products | AP Chemistry | Khan Academy,7674,11
Khan Academy,3e8e0d1fWLk,Physical and chemical changes | Chemical reactions | AP Chemistry | Khan Academy,8813,22
Khan Academy,kCkyk4YNUyY,Drawing particulate models of reaction mixtures | Chemical reactions | AP Chemistry | Khan Academy,4447,10
Khan Academy,3UoxWEZuwp8,Visualizing chemical equations using particulate models | AP Chemistry | Khan Academy,3996,15
Khan Academy,ZX92IrP6OYA,"Homeroom with Sal & John Stankey - Tuesday, December 1",9204,12
Khan Academy,gqSgo6PUn40,Khan Academy Needs Your Help To Keep Going,778353,2957
Khan Academy,XYaZgRQdV3g,Limits of composite functions: internal limit doesn't exist | AP Calculus | Khan Academy,13447,38
Khan Academy,1zBsx-xGS4w,"Homeroom with Sal & Eric Schmidt - Tuesday, November 17",12427,20
Khan Academy,VAk50-zIes8,Limits of composite functions: external limit doesn't exist | AP Calculus | Khan Academy,8719,23
Khan Academy,Fk4pn8ZOy1w,Finding decreasing interval given the function | Calculus | Khan Academy,12136,35
Khan Academy,rwLrkC3-6i8,"Homeroom with Sal & Marley Dias - Thursday, November 12",8839,14
Khan Academy,1CzHfnrezmc,"Homeroom with Sal & Dan Roth - Wednesday, November 11",8382,15
Khan Academy,9XtCWJmKF28,Example: Graphing y=-cos(π⋅x)+1.5 | Trigonometry | Algebra 2 | Khan Academy,8440,41
Khan Academy,#NAME?,Example: Graphing y=3⋅sin(½⋅x)-2 | Trigonometry | Algebra 2 | Khan Academy,6810,12
Khan Academy,JjcX-akf4Cg,"Homeroom with Sal & Margaret Spellings - Wednesday, November 3",11174,16
Khan Academy,tD1e_BaOA4U,"GoodBoy3000 | Khaffeine, an audio journey by Khan Academy",7261,23
Khan Academy,kEJRG-xuHi0,"The Lighthouse Keeper | Khaffeine, an audio journey by Khan Academy",4672,14
Khan Academy,QHDNxu8ieKY,"Ask Sal Anything! Homeroom Thursday, October 29",10903,28
Khan Academy,eK8T3CcSvwE,Theorem for limits of composite functions: when conditions aren't met | AP Calculus | Khan Academy,8948,24
Khan Academy,9Z3ngNi-12k,Theorem for limits of composite functions | Limits and contiuity | AP Calculus | Khan Academy,5799,14
Khan Academy,iIfAqqlm6jE,Dr. Vivek Murthy on navigating the holidays safely during Covid-19,12298,19
Khan Academy,OzH735zyTWs,Geometric series as a function | Infinite sequences and series | AP Calculus BC | Khan Academy,9084,25
Khan Academy,oThlns-qBaI,Sampling distribution of the difference in sample proportions | AP Statistics | Khan Academy,4310,11
Khan Academy,#NAME?,Sampling distribution of the difference in sample proportions -Probability example,4542,10
Khan Academy,Y-GlfZg4_Lc,"Homeroom with Sal & John Dickerson - Tuesday, October 27",5597,9
Khan Academy,H5WNQfDSWrE,Path independence for line integrals | Multivariable Calculus | Khan Academy,7390,22
Khan Academy,XKCeLA4UsXw,Geometric distribution mean and standard deviation | AP Statistics | Khan Academy,11458,32
Khan Academy,BR7Svm1s8fs,Worked example: Calculating the maximum wavelength capable of ionization | Khan Academy,6812,14
Khan Academy,UHF1HXdkrZQ,Column chromatography | Intermolecular forces and properties | AP Chemistry | Khan Academy,6905,9
